run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe
TU_qf_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,600,3269.64,1.1,5.45,3 566.78 (12.80%),12.8,23.83,263.37,-74.42,3.01
TU_qf_adx30,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",22,2545.36,4.21,115.7,429.09 (1.68%),1.68,45.45,333.93,-64.99,36.76
TU_qf_ema50,M3 (2026.01.01 - 2026.09.18),Ema50,887,2530.18,1.05,2.85,5 403.78 (19.15%),19.15,24.46,238.59,-72.68,1.58
TU_tgt500,M3 (2026.01.01 - 2026.09.18),none,1200,1862.47,1.03,1.55,6 285.30 (20.93%),20.93,23.67,238.9,-71.21,0.97
TU_qf_cool10,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",63,1675.38,1.5,26.59,1 273.98 (4.94%),4.94,25.4,314.33,-70.54,11.42
TU_qf_default,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",63,1675.38,1.5,26.59,1 273.98 (4.94%),4.94,25.4,314.33,-70.54,11.42
TU_qf_adx20,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",105,1528.25,1.26,14.55,1 329.54 (5.20%),5.2,25.71,271.07,-73.45,6.56
TU_tgt100_cap80,M3 (2026.01.01 - 2026.09.18),none,270,1526.31,1.1,5.65,3 259.95 (10.94%),10.94,22.59,263.71,-68.74,3.95
TU_tgt200,M3 (2026.01.01 - 2026.09.18),none,1096,1491.19,1.03,1.36,5 446.08 (18.76%),18.76,23.91,230.65,-69.85,0.85
TU_cap80,M3 (2026.01.01 - 2026.09.18),none,471,1041.63,1.04,2.21,3 275.76 (12.48%),12.48,22.72,232.13,-64.58,1.46
TU_mode0_sweep24,M3 (2026.01.01 - 2026.09.18),none,16,776.94,1.9,48.56,620.73 (2.47%),2.47,37.5,272.86,-85.23,9.05
TU_tgt50,M3 (2026.01.01 - 2026.09.18),none,942,471.57,1.01,0.5,4 375.02 (15.43%),15.43,23.89,227.93,-70.05,0.33
TU_qf_all,M3 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Bias,Volume,Cooldown",45,432.11,1.16,9.6,1 765.88 (6.81%),6.81,24.44,281.89,-77.66,5.06
TU_tgt100,M3 (2026.01.01 - 2026.09.18),none,958,371.67,1.01,0.39,4 170.77 (14.90%),14.9,23.8,226.78,-69.51,0.25
TU_qf_volume,M3 (2026.01.01 - 2026.09.18),Volume,557,123.45,1.0,0.22,6 555.63 (22.54%),22.54,23.16,243.51,-72.31,0.13
TU_mode0_sweep12,M3 (2026.01.01 - 2026.09.18),none,6,89.93,1.24,14.99,244.19 (0.98%),0.98,33.33,231.97,-92.7,0.35
TU_ref_kz60,M3 (2026.01.01 - 2026.09.18),none,1286,31.73,1.0,0.02,8 096.59 (26.38%),26.38,23.56,229.02,-69.75,0.02
TU_mode0_sweep6,M3 (2026.01.01 - 2026.09.18),none,1,-120.76,0.0,-120.76,120.76 (0.48%),0.48,0.0,0.0,-120.51,-1.25
TU_days10,M3 (2026.01.01 - 2026.09.18),none,2,-124.47,0.0,-62.24,124.47 (0.50%),0.5,0.0,0.0,-61.57,-1.89
TU_days3,M3 (2026.01.01 - 2026.09.18),none,7,-148.42,0.7,-21.2,250.72 (1.00%),1.0,28.57,173.46,-98.37,-1.12
TU_closeatend,M3 (2026.01.01 - 2026.09.18),none,1353,-235.5,1.0,-0.17,6 305.92 (21.84%),21.84,26.9,194.46,-70.96,-0.13
TU_tgt100_close,M3 (2026.01.01 - 2026.09.18),none,958,-261.1,0.99,-0.27,4 292.95 (15.56%),15.56,23.9,219.81,-68.6,-0.18
TU_mode1_near1,M3 (2026.01.01 - 2026.09.18),none,1280,-438.22,0.99,-0.34,8 636.79 (28.04%),28.04,23.59,226.46,-69.57,-0.22
TU_qf_cooldown,M3 (2026.01.01 - 2026.09.18),Cooldown,962,-438.73,0.99,-0.46,5 380.01 (18.47%),18.47,24.95,229.73,-76.15,-0.27
TU_mode1_near2,M3 (2026.01.01 - 2026.09.18),none,1274,-779.29,0.99,-0.61,8 805.93 (28.59%),28.59,23.63,224.7,-69.51,-0.4
TU_fn25k,M3 (2026.01.01 - 2026.09.18),none,440,-1214.65,0.92,-2.76,2 654.90 (10.04%),10.04,22.27,144.75,-44.54,-3.36
TU_cap250,M3 (2026.01.01 - 2026.09.18),none,966,-1267.59,0.97,-1.31,7 821.98 (27.42%),27.42,22.77,210.42,-63.0,-0.91
TU_lead30,M3 (2026.01.01 - 2026.09.18),none,1098,-1790.65,0.97,-1.63,7 699.12 (26.76%),26.76,22.77,216.69,-65.27,-1.08
TU_qf_struct,M3 (2026.01.01 - 2026.09.18),Struct,493,-2008.17,0.93,-4.07,3 114.43 (12.05%),12.05,20.69,243.9,-68.02,-2.76
TU_qf_bias,M3 (2026.01.01 - 2026.09.18),Bias,728,-2029.55,0.95,-2.79,6 813.45 (24.68%),24.68,23.9,217.99,-71.38,-1.73
TU_qf_trend,M3 (2026.01.01 - 2026.09.18),Trend,398,-2896.4,0.88,-7.28,5 414.17 (20.16%),20.16,23.37,220.76,-76.03,-4.7
TU_lead120,M3 (2026.01.01 - 2026.09.18),none,1541,-2916.68,0.96,-1.89,8 408.50 (29.37%),29.37,23.95,202.28,-65.41,-1.36
TU_nokzwindow,M3 (2026.01.01 - 2026.09.18),none,1541,-2916.68,0.96,-1.89,8 408.50 (29.37%),29.37,23.95,202.28,-65.41,-1.36
