run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe,folder
W_sl3p0_L8_ema50_vwap,M3 (2026.01.01 - 2026.09.18),"Ema50,Vwap",374,2448.31,1.24,6.55,1 594.10 (22.49%),22.49,21.93,154.83,-35.1,2.97,results_best_M3
REF_D3_sl3p0,M5 (2026.01.01 - 2026.09.18),none,737,2401.82,1.15,3.26,1 620.53 (23.63%),23.63,24.56,103.35,-29.32,1.81,results_best_M5
W_sl2p5_L8_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,394,2359.77,1.24,5.99,1 634.80 (20.53%),20.53,26.4,117.77,-34.1,3.59,results_best_M3
W_sl3p0_L5_vwap,M3 (2026.01.01 - 2026.09.18),Vwap,394,2306.9,1.22,5.86,1 497.15 (19.39%),19.39,22.84,140.73,-34.07,3.61,results_best_M3
W_sl2p5_L5_ema50_vwap,M3 (2026.01.01 - 2026.09.18),"Ema50,Vwap",374,2248.5,1.23,6.01,1 893.95 (23.69%),23.69,25.4,125.96,-34.83,4.74,results_best_M3
W_sl2p5_L5_ema50_vwap,M5 (2026.01.01 - 2026.09.18),"Ema50,Vwap",287,2148.02,1.25,7.48,1 269.75 (21.82%),21.82,24.39,154.9,-40.07,3.31,results_best_M5
W_sl2p5_L8_vwap,M5 (2026.01.01 - 2026.09.18),Vwap,325,2003.18,1.2,6.16,1 328.95 (19.86%),19.86,24.0,155.59,-41.02,2.29,results_best_M5
W_sl2p5_L5,M15 (2026.01.01 - 2026.09.18),none,195,1983.03,1.2,10.17,3 006.57 (49.13%),49.13,27.69,221.62,-70.81,1.42,results_best_M15
W_sl2p5_L5_vwap,M15 (2026.01.01 - 2026.09.18),Vwap,187,1967.58,1.2,10.52,3 001.47 (49.05%),49.05,27.81,227.34,-72.99,1.42,results_best_M15
W_sl2p5_L5_cool,M15 (2026.01.01 - 2026.09.18),Cooldown,160,1945.15,1.21,12.16,3 528.63 (53.44%),53.44,29.38,234.05,-80.14,1.68,results_best_M15
W_sl2p5_L8_ema50,M15 (2026.01.01 - 2026.09.18),Ema50,132,1899.77,1.26,14.39,1 742.51 (33.93%),33.93,29.55,232.85,-77.22,1.67,results_best_M15
REF_E3_ladder8R,M3 (2026.01.01 - 2026.09.18),none,1324,1894.37,1.1,1.43,1 016.65 (16.25%),16.25,23.49,64.23,-17.85,1.94,results_best_M3
W_sl2p5_L5_ema50_vwap,M15 (2026.01.01 - 2026.09.18),"Ema50,Vwap",125,1838.17,1.29,14.71,1 604.78 (30.77%),30.77,31.2,210.54,-74.1,1.88,results_best_M15
REF_D3_sl3p0,M15 (2026.01.01 - 2026.09.18),none,246,1696.95,1.16,6.9,4 122.86 (53.12%),53.12,22.76,222.72,-56.71,1.28,results_best_M15
W_sl2p5_L5_ema50,M3 (2026.01.01 - 2026.09.18),Ema50,789,1592.0,1.09,2.02,2 763.10 (39.06%),39.06,27.0,86.89,-29.37,1.94,results_best_M3
W_sl3p0_L5_vwap,M5 (2026.01.01 - 2026.09.18),Vwap,323,1511.76,1.13,4.68,1 851.50 (25.16%),25.16,23.84,172.65,-47.9,1.78,results_best_M5
W_sl2p5_L4,M15 (2026.01.01 - 2026.09.18),none,195,1486.55,1.15,7.62,2 590.61 (43.31%),43.31,32.82,179.06,-76.13,1.37,results_best_M15
W_sl3p0_L8_ema50_vwap,M15 (2026.01.01 - 2026.09.18),"Ema50,Vwap",126,1464.46,1.2,11.62,1 949.71 (30.90%),30.9,29.37,235.44,-81.42,1.2,results_best_M15
REF_00_base,M5 (2026.01.01 - 2026.09.18),none,745,1453.15,1.12,1.95,1 835.00 (23.09%),23.09,24.56,74.87,-21.79,2.19,results_best_M5
REF_00_base,M3 (2026.01.01 - 2026.09.18),none,1294,1344.4,1.08,1.04,1 037.75 (19.99%),19.99,23.72,62.21,-17.99,1.78,results_best_M3
W_sl2p5_L5_ema50,M15 (2026.01.01 - 2026.09.18),Ema50,131,1305.15,1.19,9.96,2 137.80 (40.99%),40.99,30.53,205.51,-75.99,1.34,results_best_M15
W_sl3p0_L8_t25,M3 (2026.01.01 - 2026.09.18),none,949,1257.46,1.06,1.33,1 817.13 (27.79%),27.79,27.29,84.38,-29.85,0.96,results_best_M3
W_sl3p0_L8_ema50_t25,M15 (2026.01.01 - 2026.09.18),Ema50,125,1178.68,1.16,9.43,2 724.19 (41.20%),41.2,29.6,235.56,-85.65,0.99,results_best_M15
W_sl2p5_L4,M5 (2026.01.01 - 2026.09.18),none,686,996.9,1.05,1.45,2 260.60 (31.93%),31.93,29.15,99.53,-38.91,1.08,results_best_M5
REF_E3_ladder8R,M15 (2026.01.01 - 2026.09.18),none,239,907.66,1.11,3.8,2 259.35 (43.73%),43.73,23.85,156.43,-44.01,0.74,results_best_M15
W_sl3p0_L8_ema50,M15 (2026.01.01 - 2026.09.18),Ema50,132,896.29,1.11,6.79,2 517.88 (39.91%),39.91,28.79,229.49,-83.24,0.73,results_best_M15
