run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe,folder
TU_qf_cooldown,M5 (2026.01.01 - 2026.09.18),Cooldown,589,-341.14,0.99,-0.58,5 366.67 (19.30%),19.3,25.3,219.69,-74.55,-0.27,results_tu_M5
TU_days3,M5 (2026.01.01 - 2026.09.18),none,13,-373.81,0.61,-28.75,616.36 (2.47%),2.47,15.38,293.71,-86.94,-4.93,results_tu_M5
TU_qf_adx20,M5 (2026.01.01 - 2026.09.18),"Trend,Struct,Ema50,Vwap,Cooldown",92,-374.18,0.93,-4.07,1 721.51 (6.75%),6.75,22.83,251.03,-78.92,-1.65,results_tu_M5
TU_mode1_near1,M3 (2026.01.01 - 2026.09.18),none,1280,-438.22,0.99,-0.34,8 636.79 (28.04%),28.04,23.59,226.46,-69.57,-0.22,results_tu_M3
TU_qf_cooldown,M3 (2026.01.01 - 2026.09.18),Cooldown,962,-438.73,0.99,-0.46,5 380.01 (18.47%),18.47,24.95,229.73,-76.15,-0.27,results_tu_M3
TU_tgt200,M5 (2026.01.01 - 2026.09.18),none,682,-486.79,0.99,-0.71,4 924.46 (18.72%),18.72,24.19,203.04,-65.15,-0.37,results_tu_M5
TU_mode0_sweep24,M5 (2026.01.01 - 2026.09.18),none,16,-556.08,0.49,-34.76,781.30 (3.13%),3.13,18.75,177.98,-83.43,-5.0,results_tu_M5
TU_mode1_near2,M3 (2026.01.01 - 2026.09.18),none,1274,-779.29,0.99,-0.61,8 805.93 (28.59%),28.59,23.63,224.7,-69.51,-0.4,results_tu_M3
TU_tgt50,M5 (2026.01.01 - 2026.09.18),none,598,-849.44,0.97,-1.42,4 697.89 (18.48%),18.48,23.91,201.37,-64.57,-0.75,results_tu_M5
TU_tgt100,M5 (2026.01.01 - 2026.09.18),none,622,-863.37,0.97,-1.39,4 947.48 (18.93%),18.93,23.95,202.94,-65.16,-0.74,results_tu_M5
TU_fn25k,M3 (2026.01.01 - 2026.09.18),none,440,-1214.65,0.92,-2.76,2 654.90 (10.04%),10.04,22.27,144.75,-44.54,-3.36,results_tu_M3
TU_fn25k,M5 (2026.01.01 - 2026.09.18),none,212,-1230.9,0.83,-5.81,1 798.37 (7.03%),7.03,22.64,129.7,-45.15,-5.0,results_tu_M5
TU_cap250,M3 (2026.01.01 - 2026.09.18),none,966,-1267.59,0.97,-1.31,7 821.98 (27.42%),27.42,22.77,210.42,-63.0,-0.91,results_tu_M3
TU_qf_trend,M5 (2026.01.01 - 2026.09.18),Trend,283,-1288.09,0.93,-4.55,4 008.36 (15.06%),15.06,24.38,239.64,-82.68,-2.01,results_tu_M5
TU_qf_ema50,M5 (2026.01.01 - 2026.09.18),Ema50,513,-1571.81,0.94,-3.06,4 474.40 (17.64%),17.64,24.17,203.02,-68.19,-1.53,results_tu_M5
TU_tgt100_close,M5 (2026.01.01 - 2026.09.18),none,643,-1752.48,0.94,-2.73,5 251.17 (20.30%),20.3,23.79,193.84,-63.53,-1.49,results_tu_M5
TU_lead30,M3 (2026.01.01 - 2026.09.18),none,1098,-1790.65,0.97,-1.63,7 699.12 (26.76%),26.76,22.77,216.69,-65.27,-1.08,results_tu_M3
TU_qf_bias,M5 (2026.01.01 - 2026.09.18),Bias,613,-1904.94,0.94,-3.11,6 765.92 (24.39%),24.39,23.49,216.21,-69.87,-1.56,results_tu_M5
TU_cap80,M5 (2026.01.01 - 2026.09.18),none,373,-1945.89,0.9,-5.22,3 748.15 (14.19%),14.19,22.52,206.9,-66.27,-3.16,results_tu_M5
TU_ref_kz60,M5 (2026.01.01 - 2026.09.18),none,750,-1977.13,0.95,-2.64,6 033.25 (22.97%),22.97,23.87,195.2,-64.1,-1.4,results_tu_M5
TU_mode1_near1,M5 (2026.01.01 - 2026.09.18),none,747,-1997.51,0.95,-2.67,5 985.83 (22.85%),22.85,23.69,196.38,-63.93,-1.43,results_tu_M5
TU_qf_struct,M3 (2026.01.01 - 2026.09.18),Struct,493,-2008.17,0.93,-4.07,3 114.43 (12.05%),12.05,20.69,243.9,-68.02,-2.76,results_tu_M3
TU_tgt500,M5 (2026.01.01 - 2026.09.18),none,744,-2025.4,0.94,-2.72,5 979.61 (22.85%),22.85,23.92,192.79,-63.65,-1.45,results_tu_M5
TU_qf_bias,M3 (2026.01.01 - 2026.09.18),Bias,728,-2029.55,0.95,-2.79,6 813.45 (24.68%),24.68,23.9,217.99,-71.38,-1.73,results_tu_M3
TU_mode1_near2,M5 (2026.01.01 - 2026.09.18),none,733,-2207.25,0.94,-3.01,5 946.14 (22.74%),22.74,23.6,197.38,-64.36,-1.62,results_tu_M5
TU_qf_volume,M5 (2026.01.01 - 2026.09.18),Volume,343,-2665.02,0.86,-7.77,5 039.68 (19.42%),19.42,21.57,228.73,-72.27,-3.88,results_tu_M5
TU_qf_trend,M3 (2026.01.01 - 2026.09.18),Trend,398,-2896.4,0.88,-7.28,5 414.17 (20.16%),20.16,23.37,220.76,-76.03,-4.7,results_tu_M3
TU_cap250,M5 (2026.01.01 - 2026.09.18),none,661,-2909.3,0.91,-4.4,5 890.20 (23.40%),23.4,23.0,187.19,-61.07,-2.47,results_tu_M5
TU_lead120,M3 (2026.01.01 - 2026.09.18),none,1541,-2916.68,0.96,-1.89,8 408.50 (29.37%),29.37,23.95,202.28,-65.41,-1.36,results_tu_M3
TU_nokzwindow,M3 (2026.01.01 - 2026.09.18),none,1541,-2916.68,0.96,-1.89,8 408.50 (29.37%),29.37,23.95,202.28,-65.41,-1.36,results_tu_M3
TU_lead120,M5 (2026.01.01 - 2026.09.18),none,892,-3201.11,0.93,-3.59,7 071.11 (27.17%),27.17,23.77,188.83,-63.03,-2.06,results_tu_M5
TU_nokzwindow,M5 (2026.01.01 - 2026.09.18),none,892,-3201.11,0.93,-3.59,7 071.11 (27.17%),27.17,23.77,188.83,-63.03,-2.06,results_tu_M5
TU_qf_struct,M5 (2026.01.01 - 2026.09.18),Struct,342,-4078.43,0.78,-11.93,5 571.83 (21.98%),21.98,19.3,213.51,-65.31,-5.0,results_tu_M5
